codice_comune,comune_key,comune_fonte,anno,pop_totale,pop_15_29,m0602_corrente_impegni,m0602_capitale_impegni,spesa_corrente_totale_impegni,eur_m0602_per_abitante,eur_m0602_per_giovane_15_29,pct_spesa_corrente_m0602,m0602_zero,dato_bilancio_mancante
016100,fiorano al serio,COMUNE DI FIORANO AL SERIO,2024,2933,454,0.0,0.0,2536384.26,0.0,0.0,0.0,True,False
016101,fontanella,COMUNE DI FONTANELLA,2024,4872,761,0.0,0.0,2899582.82,0.0,0.0,0.0,True,False
016102,fonteno,COMUNE DI FONTENO,2024,565,85,483.23,0.0,509138.4,0.8552743362831858,5.685058823529412,0.09491132470071006,False,False
016103,foppolo,COMUNE DI FOPPOLO,2024,152,20,0.0,0.0,548333.66,0.0,0.0,0.0,True,False
016104,foresto sparso,COMUNE DI FORESTO SPARSO,2024,3098,495,0.0,0.0,1496317.87,0.0,0.0,0.0,True,False
016105,fornovo san giovanni,COMUNE DI FORNOVO SAN GIOVANNI,2024,3406,559,0.0,0.0,2128374.49,0.0,0.0,0.0,True,False
016106,fuipiano valle imagna,COMUNE DI FUIPIANO VALLE IMAGNA,2024,209,30,0.0,0.0,397094.84,0.0,0.0,0.0,True,False
016107,gandellino,COMUNE DI GANDELLINO,2024,964,129,0.0,0.0,1189715.57,0.0,0.0,0.0,True,False
016108,gandino,COMUNE DI GANDINO,2024,5156,772,0.0,0.0,3608764.71,0.0,0.0,0.0,True,False
016109,gandosso,COMUNE DI GANDOSSO,2024,1447,231,0.0,0.0,841359.87,0.0,0.0,0.0,True,False
016110,gaverina terme,COMUNE DI GAVERINA TERME,2024,884,153,905.0,0.0,720978.98,1.0237556561085972,5.915032679738562,0.12552377047108917,False,False
016111,gazzaniga,COMUNE DI GAZZANIGA,2024,4923,767,6459.9,0.0,3492057.18,1.312187690432663,8.422294654498044,0.18498837982945054,False,False
016113,ghisalba,COMUNE DI GHISALBA,2024,6165,1106,5000.0,0.0,4262350.56,0.8110300081103001,4.520795660036167,0.11730616545064282,False,False
016114,gorlago,COMUNE DI GORLAGO,2024,5161,867,0.0,0.0,3561528.26,0.0,0.0,0.0,True,False
016115,gorle,COMUNE DI GORLE,2024,6557,1085,0.0,0.0,3944555.75,0.0,0.0,0.0,True,False
016116,gorno,COMUNE DI GORNO,2024,1476,200,0.0,0.0,1406757.37,0.0,0.0,0.0,True,False
016117,grassobbio,COMUNE DI GRASSOBBIO,2024,6528,1121,0.0,0.0,4787483.13,0.0,0.0,0.0,True,False
016118,gromo,COMUNE DI GROMO,2024,1138,154,1954.83,0.0,1507414.68,1.7177768014059753,12.693701298701297,0.12968097139666968,False,False
016119,grone,COMUNE DI GRONE,2024,913,142,0.0,0.0,884651.52,0.0,0.0,0.0,True,False
016120,grumello del monte,COMUNE DI GRUMELLO DEL MONTE,2024,7546,1214,0.0,0.0,4877418.91,0.0,0.0,0.0,True,False
016121,isola di fondra,COMUNE DI ISOLA DI FONDRA,2024,172,22,0.0,0.0,373227.9,0.0,0.0,0.0,True,False
016122,isso,COMUNE DI ISSO,2024,588,84,0.0,0.0,522968.26,0.0,0.0,0.0,True,False
